"タブ名","第1層イニシャル","第1層","第1層説明","編集用シート"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing"
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing"
"生涯","LL","生涯にわたって共に学ぶ姿勢","絶えず省察し、他の医師・医療者と共に研鑽しながら、安全で質の高い医療を実践するために生涯にわたって自律的に学び続け、また積極的に教育に関わっていく。","https://docs.google.com/spreadsheets/d/1oWwRdRS8d1au_yEB-Gb1NlMyNs2VjjhN6PjlEP_9KlQ/edit#gid=1891435"
"科学","RE","科学的探究","医学・医療の発展のための医学研究の重要性を理解し、科学的思考を身に付けながら、学術・研究活動に関与して医学を創造する。","https://docs.google.com/spreadsheets/d/12cQerIrb7ZMAlP6pmXifnN3TYEH-CdtL7E-UtKswlLY/edit?usp=sharing"
"知識","PS","専門知識に基づいた問題解決能力","医学および関連する学問分野の知識を身に付け、根拠に基づいた医療を基盤に、経験も踏まえながら、患者の抱える問題を解決する。","https://docs.google.com/spreadsheets/d/1_dpJDDXgF1pyxYlRlAoirtS53T2RviSHOLJ-FJedxOU/edit?usp=sharing"
"情報","IT","情報・科学技術を活かす能力","発展し続ける情報社会を理解し、人工知能を含めた高度科学技術を活用しながら、医療・医学研究を最適化する。","https://docs.google.com/spreadsheets/d/1tE4bfyk61m0TgfpSrreK7x3HO8TZhNl0ahmzLlT6JvE/edit?usp=sharing"
"技能","CS","患者ケアのための診療技能","安全で質の高い医療を実践するために、匠（たくみ）としての技（診療技能）を磨き、それを遺憾無く発揮して診療を実践する。","https://docs.google.com/spreadsheets/d/11py0JfPnChRLp7_cmZUZVdLX8vNVdeUZ8MV-ph7uq-I/edit#gid=967045629"
"コミュ","CM","コミュニケーション能力","患者及び患者に関わる全ての人と、相手の状況を考慮した上で良好なコミュニケーションをとり、患者の意思決定を支援して、安全で質の高い医療を実践する。","https://docs.google.com/spreadsheets/d/1Dg2QAub4L0Hjxoby-tl3REQSMk8AvKt4h2_UVbufVvc/edit?usp=sharing"
"連携","IP","多職種連携能力","保健、医療、福祉、介護など患者・家族に関わる全ての人々の役割を理解し、お互いに良好な関係を築きながら、患者・家族・地域の課題を共有し、関わる人々と協働することができる。","https://docs.google.com/spreadsheets/d/12YVz3fmZJXgpk11Vyh9qjtblSDoxioajhkn5ca9xtMI/edit?usp=sharing"
"社会","SO","社会における医療の役割の理解","医療は社会の一部であるという認識を持ち、経済的な観点・地域性の視点・国際的な視野も持ちながら、公正な医療を提供し、健康の代弁者として公衆衛生の向上に努める。","https://docs.google.com/spreadsheets/d/10J6QQhkBnSAPc9c6bmSGkr87qaZU6o0T4WwoJH647t8/edit?usp=sharing"
